DATE,PLXS,BWINB,HGIC,WTS,HTLD,PLAB,OFG,WSBC,CCC,SUR,BRY,CNMD,ACO,IMKTA,CBM,AIN,CHFC,COKE,GNCMA,LNN,VWMKT,RiskFree
5/6/1997,0.342857152,3.45E-10,0.015503877,0.014778325,-0.028571425,0.166666665,-0.021505376,0.007299271,0.06122449,3.25E-10,0.06666667,0.109243696,0.037593985,-9.90E-11,0.06741573,0.049689441,-0.042253521,-0.003067482,0.134615385,0.065789475,0.047134334,0.000957444
5/13/1997,0.007092199,0.014084506,0.015267177,-0.038834951,0.052941178,0.060317462,0.021978024,0.003623189,0.009615385,-1.58E-09,-0.015625002,-0.015151514,0.065217393,0.027522936,-0.051278195,0.00591716,0.029411765,0.040000001,-0.067796609,-0.019423869,0.007058502,0.000957444
5/20/1997,-0.077464789,-0.004861111,0.015037594,0.025252525,-0.016759777,0.098802397,0.021505376,0.007220216,0.00952381,0.010526318,-0.015873016,-0.019230768,-0.020408163,0.008928572,0.011111109,0.023529412,0.003571427,0.023668639,1.29E-10,0.109243697,0.010702622,0.000957444
5/27/1997,0.137404578,0,0.05925926,3.63E-10,-0.028409091,0.024523161,0.05263158,0.053763442,0.056603772,1.66E-09,-0.008064516,0.058823533,0.060214558,0.017699115,0.025641026,0.022988506,-0.007117437,0.049418604,-0.027272727,0.113636363,0.012778573,0.000957444
6/3/1997,-0.006711411,-0.010526316,0.017482518,-0.011724138,-0.005847953,-0.042553191,0.005,0.034013607,-0.044642858,0.031250001,3.53E-09,0.074074074,-0.046052632,0.017391305,0.057142857,0.056179777,-0.039426522,-0.008310251,0.04672897,-0.07142857,0.000866067,0.000957444
6/10/1997,0.081081082,0.007092198,0.044673542,-0.005,0.105882355,-0.055555557,0.014925373,3.80E-09,0.024672896,0.02020202,-0.024390243,2.62E-11,0.006896551,0.034188035,0.067567567,0.015178064,0.006268656,0.058659221,0.013392858,0.025641023,0.020046236,0.000846879
6/17/1997,0.109375,0.04225352,-0.005977632,-0.005025126,-0.061170212,-0.052941177,-0.014705882,-0.025749246,-0.018348624,-0.00990099,0.015055559,-0.089655175,0.027397261,-0.020661157,-0.037974684,-8.04E-10,0.044776121,-0.007915568,0.110132159,-0.028571428,0.028999792,0.000846879
6/24/1997,0.135211266,0.0777027,0.008319467,-0.025252525,0.053824363,0.071428574,0.03482587,0.020408164,0.037383176,-0.01,-0.016528925,0.045454544,-0.013333333,0.021097049,0.014802632,-0.015789476,0.014285712,0.015957447,0.063492064,-0.040441178,0.003267804,0.000846879
7/1/1997,0.03473945,0.009404384,0.00330033,0.018134715,0.021505375,0.118840579,0.092717825,0.066666664,0.022522523,0.025252525,0.210084029,-0.028985508,-0.027027027,0.101818183,0.043760129,-0.008021389,-0.014084505,-0.020942406,-0.029850747,-0.003831419,-0.001632174,0.000846879
7/8/1997,0.151079139,0.01863354,-0.013157895,-0.022900764,0.052631579,-1.61E-10,0.013274337,0.043749999,0.013215858,0.014778325,-0.027777778,0.014925374,-0.013888889,-0.015151516,0.006211181,-9.44E-11,-0.014285714,0.026737968,-0.015384616,-0.007692308,0.027483333,0.000968003
7/15/1997,-0.041666666,-0.024390242,0.02,0.020833333,0.025,0.033678756,-0.017467249,0.095808385,-0.034782608,0.014563107,-0.014285715,0.022058824,-0.063380283,0.003846153,0.066358023,-0.008086253,0.03442029,0.010416666,-0.093749999,0.062015504,0.011881748,0.000968003
7/22/1997,-0.134782608,0.018750001,-0.026143791,-0.025510204,0.053658538,0.017543855,-0.004444444,-0.114754099,-0.031531532,0.033492823,-0.007246377,-0.035971225,-0.007518796,0.026819924,0.12301013,0.054347825,-0.047285463,5.81E-10,0.062500002,-0.00729927,0.007568169,0.000968003
7/29/1997,0.047738696,-0.012269938,0.016778523,0.002617804,-0.083333331,0.030788179,0.035714287,-0.00617284,0.032558139,0.037037037,-0.04379562,0.022388059,0.082386365,-0.179104476,0.00257732,0.090206186,0.029411765,0.010309279,-0.058823529,0.014705882,0.008728308,0.000968003
8/5/1997,0.055155878,-0.006211182,0.01650165,0.107049608,0.065656567,0.113500598,0.032327587,0.052795031,-0.009009011,-0.049107143,0.045801527,0.043795621,0.007874016,-0.018181818,-0.030848329,-0.007092199,-0.028571429,0.020408164,0.103448275,0.04347826,0.014713118,0.000981824
8/12/1997,-0.054545456,-0.032687501,-0.006493507,-0.037735849,-0.071090048,0.012875535,0.020876827,-0.070796459,-0.004545454,-0.014084508,-0.025547445,-0.006993007,-0.034722222,-0.027777777,0.018305162,-0.007142858,0.036764708,0.019999999,-0.015625001,0.036458334,-0.02461216,0.000981824
8/19/1997,-0.048076924,-0.03896104,-0.006535948,-0.022058823,-1.07E-09,0.040254239,0.081799594,0.028571427,6.88E-10,0.033333331,0.123595508,0.003521128,1.80E-09,-0.01904762,0.007822686,0.007194245,-0.028368794,-0.007352941,-0.047619049,0.022726034,0.001811133,0.000981824
8/26/1997,0.156565659,0.023648648,0.016447369,-0.002506264,-0.020408163,-0.018329939,0.017013232,-0.027777778,0.004566209,-0.032258064,-0.006666667,0.045614036,-0.035971223,0.024271846,0.002587323,0.016666668,0.031934306,-0.002505715,0.083333335,-0.003278689,-0.007350816,0.000981824
9/2/1997,0.069868994,0.003300332,0.084142397,-0.009439287,0.03125,-0.024896266,0.011152416,0.076190477,-0.009090909,0.066666667,0.020134228,0.003355705,0.034769436,0.004739338,-0.002580645,0.016393442,0.011494252,0.047263683,0.061538462,0.02631579,0.016194806,0.000981824
9/9/1997,0.138775515,0.046052632,-0.025373134,-0.022900764,-0.045454545,-0.034042552,0.029411766,0.035398231,0.028887405,0.035714286,0.003289474,0.050167224,0.094202897,-0.014150944,0.016817594,0.003879907,-0.007506493,0.003562946,-0.014492754,-4.91E-10,0.011579363,0.000962819
9/16/1997,-0.00358423,0.034591195,0.039471786,0.041666665,0.079365079,-0.01321586,0.055357143,0.006837607,-0.00896861,0.034482759,-0.00448383,0.006369427,0.059602649,0.004784689,0.030534351,0.00921659,0.007092199,0.01775148,0.014705882,0.025641026,0.013300225,0.000962819
9/23/1997,0.07194245,0.009118539,0.040000001,-0.005,-0.002450979,0.08482143,-0.011844331,0.008547009,-0.076923073,0.008333333,0.046357614,0.082278483,-0.03125,-0.004761905,-0.038271605,-0.03652968,0.035211267,0.041860464,0.028985508,0.049999999,0.00927463,0.000962819
9/30/1997,-0.057046977,-0.01807229,-0.042735042,0.11557789,0.085995086,-0.00308642,-0.002597814,0.008474576,0.024509803,-0.008264462,0.006329114,-0.046783625,0.070967743,0.004784689,-0.042362002,-0.047393366,0.17687075,0.026785714,-0.112676056,0.017857143,-0.001025621,0.000962819
10/7/1997,-0.039145905,0.021472392,0.113095237,-0.033783785,-0.02714932,-0.038183694,0.00862069,0.042016807,-0.033492823,0.095499998,0.06289308,0.030674846,0.024096385,0.098510203,0.008042894,0.047263681,-0.028901733,-4.11E-10,-0.015873015,0.099415208,0.033348797,0.000911182
10/14/1997,-0.033333334,0.003003003,0.090909087,-0.011655012,-0.002325581,-0.008583691,-0.011965812,-0.008064513,0.009900991,-5.88E-10,-0.0295858,0.083333333,0.052941175,-9.00E-10,0.057180851,0.004750594,0.023809524,0.010869566,0.048387101,0.061170214,-0.008702321,0.000911182
10/21/1997,0.011494254,1.10E-10,-0.088235295,0.014150943,0.062937062,-0.158008656,-0.052768167,-0.032520327,0.039215689,7.75E-10,0.00914634,0.021978021,0.005586594,-0.01754386,-0.033962264,-0.014184398,0.029069767,-0.002150538,-0.046153847,-0.082706767,0.00035099,0.000911182
10/28/1997,-0.037878791,-0.011976049,0.016129034,-0.046511628,-0.131578947,-0.164524419,-0.077625571,-0.046218487,-0.094339623,-0.043650799,-0.090634443,-0.123655915,-0.066666669,-0.035714287,0.002604168,-0.031175055,-0.050847458,1.15E-09,-0.016129032,-0.065573771,-0.055279331,0.000911182
